Year	LAT_-90.0	LAT_-89.0	LAT_-88.0	LAT_-87.0	LAT_-86.0	LAT_-85.0	LAT_-84.0	LAT_-83.0	LAT_-82.0	LAT_-81.0	LAT_-80.0	LAT_-79.0	LAT_-78.0	LAT_-77.0	LAT_-76.0	LAT_-75.0	LAT_-74.0	LAT_-73.0	LAT_-72.0	LAT_-71.0	LAT_-70.0	LAT_-69.0	LAT_-68.0	LAT_-67.0	LAT_-66.0	LAT_-65.0	LAT_-64.0	LAT_-63.0	LAT_-62.0	LAT_-61.0	LAT_-60.0	LAT_-59.0	LAT_-58.0	LAT_-57.0	LAT_-56.0	LAT_-55.0	LAT_-54.0	LAT_-53.0	LAT_-52.0	LAT_-51.0	LAT_-50.0	LAT_-49.0	LAT_-48.0	LAT_-47.0	LAT_-46.0	LAT_-45.0	LAT_-44.0	LAT_-43.0	LAT_-42.0	LAT_-41.0	LAT_-40.0	LAT_-39.0	LAT_-38.0	LAT_-37.0	LAT_-36.0	LAT_-35.0	LAT_-34.0	LAT_-33.0	LAT_-32.0	LAT_-31.0	LAT_-30.0	LAT_-29.0	LAT_-28.0	LAT_-27.0	LAT_-26.0	LAT_-25.0	LAT_-24.0	LAT_-23.0	LAT_-22.0	LAT_-21.0	LAT_-20.0	LAT_-19.0	LAT_-18.0	LAT_-17.0	LAT_-16.0	LAT_-15.0	LAT_-14.0	LAT_-13.0	LAT_-12.0	LAT_-11.0	LAT_-10.0	LAT_-9.0	LAT_-8.0	LAT_-7.0	LAT_-6.0	LAT_-5.0	LAT_-4.0	LAT_-3.0	LAT_-2.0	LAT_-1.0	LAT_0.0	LAT_1.0	LAT_2.0	LAT_3.0	LAT_4.0	LAT_5.0	LAT_6.0	LAT_7.0	LAT_8.0	LAT_9.0	LAT_10.0	LAT_11.0	LAT_12.0	LAT_13.0	LAT_14.0	LAT_15.0	LAT_16.0	LAT_17.0	LAT_18.0	LAT_19.0	LAT_20.0	LAT_21.0	LAT_22.0	LAT_23.0	LAT_24.0	LAT_25.0	LAT_26.0	LAT_27.0	LAT_28.0	LAT_29.0	LAT_30.0	LAT_31.0	LAT_32.0	LAT_33.0	LAT_34.0	LAT_35.0	LAT_36.0	LAT_37.0	LAT_38.0	LAT_39.0	LAT_40.0	LAT_41.0	LAT_42.0	LAT_43.0	LAT_44.0	LAT_45.0	LAT_46.0	LAT_47.0	LAT_48.0	LAT_49.0	LAT_50.0	LAT_51.0	LAT_52.0	LAT_53.0	LAT_54.0	LAT_55.0	LAT_56.0	LAT_57.0	LAT_58.0	LAT_59.0	LAT_60.0	LAT_61.0	LAT_62.0	LAT_63.0	LAT_64.0	LAT_65.0	LAT_66.0	LAT_67.0	LAT_68.0	LAT_69.0	LAT_70.0	LAT_71.0	LAT_72.0	LAT_73.0	LAT_74.0	LAT_75.0	LAT_76.0	LAT_77.0	LAT_78.0	LAT_79.0	LAT_80.0	LAT_81.0	LAT_82.0	LAT_83.0	LAT_84.0	LAT_85.0	LAT_86.0	LAT_87.0	LAT_88.0	LAT_89.0	LAT_90.0
-784000	529.330594	529.249974	529.008140	528.605164	528.041171	527.316331	526.430865	525.385044	524.179185	522.813656	521.288872	519.605300	517.763450	515.763885	513.607213	511.294091	508.825224	506.201364	503.423310	500.491909	497.408053	494.172681	490.786780	487.251380	483.674041	481.592407	480.364091	479.634948	479.249846	479.114391	479.163488	479.349027	479.633840	479.988302	480.388250	480.813625	481.247531	481.675574	482.085368	482.466172	482.808600	483.104410	483.346319	483.527870	483.643312	483.687509	483.655862	483.544246	483.348950	483.066638	482.694304	482.229244	481.669021	481.011445	480.254550	479.396573	478.435941	477.371254	476.201274	474.924913	473.541221	472.049380	470.448697	468.738593	466.918599	464.988350	462.947580	460.796118	458.533882	456.160877	453.677190	451.082988	448.378515	445.564089	442.640099	439.607006	436.465334	433.215678	429.858693	426.395098	422.825673	419.151257	415.372748	411.491100	407.507324	403.422488	399.237711	394.954168	390.573085	386.095742	381.523470	376.857649	372.099714	367.251145	362.313475	357.288287	352.177211	346.981928	341.704167	336.345709	330.908380	325.394059	319.804674	314.142203	308.408674	302.606167	296.736814	290.802801	284.806366	278.749804	272.635465	266.465758	260.243152	253.970178	247.649431	241.283574	234.875339	228.427532	221.943036	215.424816	208.875924	202.299503	195.698796	189.077151	182.438029	175.785017	169.121833	162.452342	155.780567	149.110708	142.447157	135.794522	129.157649	122.541649	115.951935	109.394257	102.874748	96.399981	89.977028	83.613540	77.317840	71.099038	64.967168	58.933366	53.010085	47.211387	41.553300	36.054312	30.736038	25.624151	20.749747	16.151422	11.878672	7.997936	4.604905	1.855968	0.106481	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-783000	534.414846	534.333452	534.089295	533.682449	533.113038	532.381236	531.487265	530.431399	529.213957	527.835312	526.295884	524.596140	522.736599	520.717828	518.540441	516.205102	513.712521	511.063459	508.258722	505.299164	502.185687	498.919240	495.500817	491.931459	488.361704	486.323161	485.121465	484.416189	484.054189	483.941592	484.013428	484.221574	484.528792	484.905374	485.327071	485.773737	486.228395	486.676576	487.105826	487.505341	487.865678	488.178543	488.436605	488.633363	488.763026	488.820422	488.800920	488.700363	488.515012	488.241507	487.876818	487.418219	486.863255	486.209717	485.455623	484.599196	483.638850	482.573173	481.400915	480.120980	478.732409	477.234378	475.626185	473.907248	472.077093	470.135351	468.081755	465.916131	463.638395	461.248553	458.746693	456.132982	453.407667	450.571067	447.623577	444.565660	441.397846	438.120734	434.734985	431.241326	427.640543	423.933482	420.121050	416.204212	412.183986	408.061450	403.837734	399.514024	395.091559	390.571630	385.955581	381.244805	376.440750	371.544912	366.558839	361.484127	356.322423	351.075425	345.744879	340.332582	334.840378	329.270166	323.623891	317.903551	312.111193	306.248920	300.318882	294.323288	288.264397	282.144527	275.966050	269.731401	263.443070	257.103615	250.715655	244.281878	237.805044	231.287985	224.733612	218.144919	211.524986	204.876986	198.204194	191.509987	184.797861	178.071434	171.334458	164.590834	157.844623	151.100060	144.361577	137.633822	130.921682	124.230314	117.565174	110.932061	104.337157	97.787087	91.288978	84.850539	78.480155	72.187001	65.981181	59.873903	53.877702	48.006723	42.277085	36.707372	31.319300	26.138643	21.196596	16.531836	12.193887	8.249075	4.792583	1.978824	0.149449	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-782000	541.390322	541.307865	541.060521	540.648365	540.071522	539.330168	538.424529	537.354880	536.121548	534.724908	533.165386	531.443456	529.559644	527.514523	525.308715	522.942894	520.417779	517.734139	514.892793	511.894606	508.740490	505.431407	501.968365	498.352419	494.777718	492.767445	491.584400	490.897639	490.555027	490.462724	490.555571	490.785215	491.114191	491.512581	491.955947	492.423977	492.899545	493.368051	493.816923	494.235251	494.613500	494.943290	495.217215	495.428706	495.571911	495.641601	495.633094	495.542187	495.365102	495.098436	494.739129	494.284422	493.731831	493.079121	492.324288	491.465533	490.501250	489.430012	488.250553	486.961762	485.562671	484.052444	482.430371	480.695861	478.848435	476.887720	474.813444	472.625431	470.323597	467.907946	465.378567	462.735630	459.979384	457.110154	454.128336	451.034401	447.828886	444.512396	441.085601	437.549237	433.904100	430.151047	426.290997	422.324925	418.253865	414.078908	409.801198	405.421936	400.942378	396.363831	391.687657	386.915267	382.048128	377.087756	372.035718	366.893632	361.663167	356.346042	350.944027	345.458942	339.892657	334.247094	328.524224	322.726072	316.854713	310.912275	304.900940	298.822943	292.680574	286.476182	280.212172	273.891006	267.515213	261.087380	254.610162	248.086284	241.518539	234.909798	228.263010	221.581207	214.867510	208.125133	201.357392	194.567710	187.759625	180.936802	174.103041	167.262292	160.418666	153.576453	146.740139	139.914428	133.104267	126.314876	119.551776	112.820833	106.128305	99.480891	92.885799	86.350827	79.884453	73.495949	67.195528	60.994516	54.905575	48.942988	43.123029	37.464452	31.989159	26.723134	21.697799	16.952079	12.535746	8.515330	4.986002	2.101181	0.193049	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-781000	549.438382	549.354700	549.103679	548.685396	548.099978	547.347603	546.428501	545.342952	544.091285	542.673884	541.091178	539.343651	537.431835	535.356312	533.117714	530.716723	528.154071	525.430538	522.546953	519.504196	516.303193	512.944919	509.430397	505.760697	502.177564	500.190371	499.023613	498.354105	498.030334	497.958282	498.072469	498.324208	498.675735	499.096861	499.562912	500.053367	500.550919	501.040807	501.510315	501.948408	502.345439	502.692926	502.983373	503.210129	503.367270	503.449500	503.452078	503.370745	503.201675	502.941421	502.586881	502.135258	501.584037	500.930953	500.173973	499.311273	498.341227	497.262386	496.073468	494.773345	493.361035	491.835691	490.196593	488.443141	486.574849	484.591338	482.492333	480.277653	477.947215	475.501022	472.939164	470.261813	467.469222	464.561719	461.539707	458.403663	455.154131	451.791726	448.317127	444.731080	441.034394	437.227938	433.312642	429.289499	425.159555	420.923918	416.583750	412.140270	407.594750	402.948518	398.202955	393.359496	388.419627	383.384887	378.256866	373.037208	367.727606	362.329804	356.845599	351.276838	345.625420	339.893295	334.082464	328.194982	322.232956	316.198545	310.093964	303.921482	297.683425	291.382173	285.020170	278.599916	272.123975	265.594974	259.015610	252.388644	245.716915	239.003335	232.250897	225.462678	218.641844	211.791658	204.915485	198.016796	191.099183	184.166364	177.222195	170.270681	163.315992	156.362481	149.414696	142.477410	135.555637	128.654670	121.780107	114.937895	108.134374	101.376335	94.671082	88.026515	81.451220	74.954589	68.546962	62.239804	56.045931	49.979793	44.057849	38.299061	32.725561	27.363594	22.244872	17.408645	12.905037	8.800922	5.191667	2.230087	0.240626	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-780000	557.443414	557.358513	557.103835	556.679457	556.085510	555.322174	554.389681	553.288315	552.018413	550.580361	548.974596	547.201608	545.261938	543.156175	540.884962	538.448990	535.849002	533.085788	530.160191	527.073103	523.825463	520.418260	516.852533	513.129368	509.551008	507.595902	506.452009	505.805205	505.505059	505.457592	505.597121	505.874704	506.252322	506.699554	507.191515	507.707495	508.230021	508.744181	509.237129	509.697710	510.116169	510.483931	510.793413	511.037888	511.211359	511.308468	511.324416	511.254893	511.096023	510.844318	510.496635	510.050142	509.502291	508.850788	508.093573	507.228798	506.254815	505.170155	503.973519	502.663764	501.239895	499.701052	498.046505	496.275646	494.387983	492.383129	490.260806	488.020832	485.663120	483.187673	480.594583	477.884024	475.056252	472.111599	469.050474	465.873360	462.580809	459.173445	455.651956	452.017098	448.269690	444.410616	440.440819	436.361305	432.173135	427.877434	423.475379	418.968207	414.357210	409.643735	404.829181	399.915006	394.902716	389.793873	384.590092	379.293039	373.904432	368.426042	362.859691	357.207254	351.470657	345.651880	339.752953	333.775961	327.723042	321.596388	315.398246	309.130918	302.796764	296.398201	289.937707	283.417820	276.841141	270.210338	263.528143	256.797363	250.020874	243.201632	236.342674	229.447122	222.518188	215.559181	208.573515	201.564712	194.536413	187.492391	180.436555	173.372967	166.305857	159.239635	152.178915	145.128533	138.093574	131.079399	124.091683	117.136450	110.220124	103.349583	96.532225	89.776046	83.089739	76.482812	69.965724	63.550076	57.248826	51.076583	45.049980	39.188169	33.513496	28.052437	22.836963	17.906596	13.311738	9.119486	5.425188	2.380595	0.301109	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-779000	564.177713	564.091786	563.834031	563.404527	562.803404	562.030846	561.087088	559.972417	558.687174	557.231749	555.606585	553.812179	551.849076	549.717874	547.419223	544.953823	542.322425	539.525830	536.564890	533.440507	530.153633	526.705270	523.096466	519.328323	515.788307	513.887844	512.782428	512.170609	511.904299	511.890187	512.062768	512.373099	512.783088	513.262215	513.785490	514.332099	514.884467	515.427589	515.948534	516.436065	516.880359	517.272769	517.605656	517.872232	518.066453	518.182913	518.216769	518.163672	518.019711	517.781363	517.445456	517.009132	516.469814	515.825187	515.073169	514.211894	513.239695	512.155090	510.956763	509.643561	508.214476	506.668639	505.005312	503.223881	501.323844	499.304815	497.166509	494.908742	492.531425	490.034563	487.418246	484.682652	481.828036	478.854737	475.763167	472.553814	469.227237	465.784065	462.224996	458.550793	454.762286	450.860368	446.845993	442.720178	438.483998	434.138591	429.685147	425.124919	420.459214	415.689393	410.816876	405.843135	400.769696	395.598139	390.330100	384.967263	379.511369	373.964210	368.327631	362.603529	356.793854	350.900610	344.925853	338.871694	332.740295	326.533877	320.254714	313.905137	307.487535	301.004355	294.458104	287.851353	281.186734	274.466947	267.694760	260.873011	254.004614	247.092559	240.139920	233.149856	226.125619	219.070558	211.988125	204.881885	197.755522	190.612852	183.457830	176.294564	169.127331	161.960593	154.799013	147.647481	140.511136	133.395397	126.305998	119.249026	112.230970	105.258774	98.339908	91.482445	84.695157	77.987635	71.370429	64.855234	58.455109	52.184772	46.060969	40.102973	34.333253	28.778412	23.470537	18.449242	13.764946	9.484587	5.702859	2.569190	0.386320	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-778000	568.565352	568.478756	568.218997	567.786153	567.180355	566.401789	565.450691	564.327352	563.032113	561.565369	559.927566	558.119205	556.140835	553.993059	551.676531	549.191957	546.540094	543.721750	540.737783	537.589101	534.276665	530.801484	527.164614	523.367166	519.916681	518.100496	517.054421	516.493798	516.274538	516.304882	516.520051	516.871479	517.321275	517.839030	518.399811	518.982828	519.570517	520.147868	520.701938	521.221477	521.696641	522.118768	522.480195	522.774117	522.994470	523.135830	523.193336	523.162620	523.039756	522.821206	522.503782	522.084612	521.561107	520.930940	520.192017	519.342462	518.380598	517.304934	516.114147	514.807076	513.382707	511.840164	510.178705	508.397710	506.496676	504.475212	502.333030	500.069945	497.685867	495.180801	492.554836	489.808149	486.941001	483.953729	480.846749	477.620551	474.275698	470.812823	467.232629	463.535885	459.723425	455.796150	451.755019	447.601058	443.335350	438.959039	434.473328	429.879475	425.178799	420.372673	415.462525	410.449839	405.336155	400.123064	394.812214	389.405304	383.904088	378.310372	372.626016	366.852933	360.993088	355.048501	349.021246	342.913448	336.727290	330.465009	324.128899	317.721308	311.244645	304.701377	298.094033	291.425201	284.697538	277.913763	271.076667	264.189111	257.254031	250.274442	243.253441	236.194212	229.100031	221.974272	214.820415	207.642049	200.442888	193.226773	185.997688	178.759770	171.517324	164.274842	157.037019	149.808774	142.595278	135.401983	128.234655	121.099414	114.002784	106.951743	99.953796	93.017050	86.150313	79.363210	72.666327	66.071389	59.591485	53.241358	47.037772	41.000004	35.150511	29.515851	24.128013	19.026420	14.261129	9.898360	6.031268	2.805291	0.506387	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-777000	569.931809	569.845006	569.584622	569.150737	568.543484	567.763046	566.809663	565.683624	564.385272	562.915003	561.273264	559.460556	557.477431	555.324494	553.002398	550.511853	547.853617	545.028499	542.037361	538.881112	535.560715	532.077181	528.431571	524.624996	521.323075	519.618418	518.651552	518.157397	517.997354	518.082088	518.348116	518.747648	519.243294	519.804987	520.408034	521.031822	521.658917	522.274409	522.865431	523.420794	523.930700	524.386525	524.780635	525.106250	525.357323	525.528446	525.614770	525.611937	525.516028	525.323510	525.031200	524.636229	524.136011	523.528219	522.810761	521.981762	521.039545	519.982617	518.809655	517.519498	516.111130	514.583675	512.936389	511.168652	509.279959	507.269917	505.138239	502.884738	500.509324	498.011999	495.392854	492.652065	489.789891	486.806670	483.702818	480.478826	477.135257	473.672744	470.091990	466.393766	462.578908	458.648316	454.602953	450.443845	446.172079	441.788799	437.295211	432.692578	427.982218	423.165509	418.243883	413.218828	408.091885	402.864651	397.538778	392.115969	386.597983	380.986630	375.283776	369.491338	363.611288	357.645650	351.596504	345.465982	339.256273	332.969620	326.608322	320.174735	313.671276	307.100417	300.464695	293.766705	287.009110	280.194639	273.326088	266.406326	259.438298	252.425025	245.369612	238.275251	231.145225	223.982916	216.791811	209.575506	202.337722	195.082306	187.813249	180.534694	173.250953	165.966520	158.686095	151.414601	144.157211	136.919378	129.706868	122.525800	115.382690	108.284512	101.238760	94.253528	87.337605	80.500590	73.753037	67.106628	60.574398	54.171016	47.913150	41.819953	35.913709	30.220737	24.772691	19.608496	14.777436	10.344437	6.400236	3.084781	0.664460	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-776000	568.132868	568.046338	567.786776	567.354261	566.748925	565.970951	565.020576	563.898091	562.603838	561.138209	559.501653	557.694667	555.717801	553.571659	551.256893	548.774210	546.124364	543.308163	540.326466	537.180180	533.870263	530.397725	526.763622	522.969062	519.868638	518.292686	517.418239	517.000396	516.906974	517.051691	517.372805	517.823635	518.367549	518.975020	519.621761	520.287469	520.954955	521.609503	522.238405	522.830601	523.376403	523.867276	524.295665	524.654854	524.938853	525.142300	525.260387	525.288794	525.223631	525.061392	524.798919	524.433360	523.962149	523.382974	522.693755	521.892628	520.977926	519.948164	518.802028	517.538360	516.156150	514.654526	513.032748	511.290195	509.426367	507.440870	505.333419	503.103826	500.752001	498.277945	495.681747	492.963583	490.123709	487.162462	484.080254	480.877573	477.554980	474.113106	470.552650	466.874378	463.079124	459.167784	455.141318	451.000746	446.747152	442.381676	437.905519	433.319940	428.626253	423.825831	418.920100	413.910545	408.798702	403.586163	398.274574	392.865634	387.361096	381.762767	376.072505	370.292223	364.423887	358.469517	352.431185	346.311018	340.111200	333.833967	327.481612	321.056487	314.560998	307.997614	301.368863	294.677334	287.925683	281.116630	274.252963	267.337545	260.373310	253.363271	246.310522	239.218246	232.089716	224.928302	217.737477	210.520828	203.282058	196.025002	188.753634	181.472079	174.184630	166.895762	159.610151	152.332695	145.068541	137.823110	130.602135	123.411696	116.258269	109.148779	102.090664	95.091958	88.161377	81.308437	74.543595	67.878420	61.325810	54.900270	48.618267	42.498705	36.563552	30.838719	25.355309	20.151488	15.275427	10.790304	6.783800	3.389444	0.853438	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-775000	563.514603	563.428777	563.171325	562.742326	562.141910	561.370260	560.427611	559.314251	558.030518	556.576803	554.953550	553.161253	551.200457	549.071760	546.775811	544.313309	541.685003	538.891695	535.934235	532.813525	529.530514	526.086204	522.481642	518.717927	515.853988	514.411210	513.633263	513.294180	513.268438	513.473107	513.848443	514.349081	514.939313	515.590296	516.278264	516.983323	517.688610	518.379678	519.044040	519.670821	520.250488	520.774640	521.235835	521.627457	521.943600	522.178978	522.328847	522.388945	522.355430	522.224843	521.994062	521.660272	521.220935	520.673766	520.016709	519.247921	518.365751	517.368731	516.255559	515.025090	513.676323	512.208394	510.620569	508.912235	507.082893	505.132154	503.059733	500.865444	498.549197	496.110992	493.550917	490.869143	488.065925	485.141595	482.096561	478.931306	475.646386	472.242423	468.720112	465.080211	461.323545	457.451004	453.463536	449.362156	445.147935	440.822006	436.385558	431.839838	427.186152	422.425860	417.560377	412.591174	407.519776	402.347763	397.076766	391.708472	386.244620	380.687002	375.037462	369.297898	363.470261	357.556556	351.558838	345.479219	339.319865	333.082995	326.770886	320.385869	313.930336	307.406734	300.817571	294.165419	287.452911	280.682748	273.857695	266.980592	260.054350	253.081959	246.066488	239.011093	231.919021	224.793614	217.638316	210.456681	203.252384	196.029223	188.791136	181.542212	174.286703	167.029042	159.773857	152.525999	145.290562	138.072909	130.878711	123.713980	116.585118	109.498966	102.462874	95.484770	88.573258	81.737723	74.988473	68.336906	61.795720	55.379184	49.103485	42.987184	37.051827	31.322790	25.830481	20.612129	15.714576	11.198992	7.149692	3.693537	1.057782	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
