Year	LAT_-90.0	LAT_-89.0	LAT_-88.0	LAT_-87.0	LAT_-86.0	LAT_-85.0	LAT_-84.0	LAT_-83.0	LAT_-82.0	LAT_-81.0	LAT_-80.0	LAT_-79.0	LAT_-78.0	LAT_-77.0	LAT_-76.0	LAT_-75.0	LAT_-74.0	LAT_-73.0	LAT_-72.0	LAT_-71.0	LAT_-70.0	LAT_-69.0	LAT_-68.0	LAT_-67.0	LAT_-66.0	LAT_-65.0	LAT_-64.0	LAT_-63.0	LAT_-62.0	LAT_-61.0	LAT_-60.0	LAT_-59.0	LAT_-58.0	LAT_-57.0	LAT_-56.0	LAT_-55.0	LAT_-54.0	LAT_-53.0	LAT_-52.0	LAT_-51.0	LAT_-50.0	LAT_-49.0	LAT_-48.0	LAT_-47.0	LAT_-46.0	LAT_-45.0	LAT_-44.0	LAT_-43.0	LAT_-42.0	LAT_-41.0	LAT_-40.0	LAT_-39.0	LAT_-38.0	LAT_-37.0	LAT_-36.0	LAT_-35.0	LAT_-34.0	LAT_-33.0	LAT_-32.0	LAT_-31.0	LAT_-30.0	LAT_-29.0	LAT_-28.0	LAT_-27.0	LAT_-26.0	LAT_-25.0	LAT_-24.0	LAT_-23.0	LAT_-22.0	LAT_-21.0	LAT_-20.0	LAT_-19.0	LAT_-18.0	LAT_-17.0	LAT_-16.0	LAT_-15.0	LAT_-14.0	LAT_-13.0	LAT_-12.0	LAT_-11.0	LAT_-10.0	LAT_-9.0	LAT_-8.0	LAT_-7.0	LAT_-6.0	LAT_-5.0	LAT_-4.0	LAT_-3.0	LAT_-2.0	LAT_-1.0	LAT_0.0	LAT_1.0	LAT_2.0	LAT_3.0	LAT_4.0	LAT_5.0	LAT_6.0	LAT_7.0	LAT_8.0	LAT_9.0	LAT_10.0	LAT_11.0	LAT_12.0	LAT_13.0	LAT_14.0	LAT_15.0	LAT_16.0	LAT_17.0	LAT_18.0	LAT_19.0	LAT_20.0	LAT_21.0	LAT_22.0	LAT_23.0	LAT_24.0	LAT_25.0	LAT_26.0	LAT_27.0	LAT_28.0	LAT_29.0	LAT_30.0	LAT_31.0	LAT_32.0	LAT_33.0	LAT_34.0	LAT_35.0	LAT_36.0	LAT_37.0	LAT_38.0	LAT_39.0	LAT_40.0	LAT_41.0	LAT_42.0	LAT_43.0	LAT_44.0	LAT_45.0	LAT_46.0	LAT_47.0	LAT_48.0	LAT_49.0	LAT_50.0	LAT_51.0	LAT_52.0	LAT_53.0	LAT_54.0	LAT_55.0	LAT_56.0	LAT_57.0	LAT_58.0	LAT_59.0	LAT_60.0	LAT_61.0	LAT_62.0	LAT_63.0	LAT_64.0	LAT_65.0	LAT_66.0	LAT_67.0	LAT_68.0	LAT_69.0	LAT_70.0	LAT_71.0	LAT_72.0	LAT_73.0	LAT_74.0	LAT_75.0	LAT_76.0	LAT_77.0	LAT_78.0	LAT_79.0	LAT_80.0	LAT_81.0	LAT_82.0	LAT_83.0	LAT_84.0	LAT_85.0	LAT_86.0	LAT_87.0	LAT_88.0	LAT_89.0	LAT_90.0
-784000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.023523	1.735530	4.626819	8.245358	12.409249	17.009508	21.971251	27.239031	32.769792	38.528949	44.488012	50.623038	56.913577	63.341919	69.892549	76.551733	83.307202	90.147909	97.063831	104.045817	111.085458	118.174983	125.307178	132.475311	139.673074	146.894531	154.134078	161.386405	168.646462	175.909440	183.170739	190.425954	197.670855	204.901373	212.113585	219.303703	226.468065	233.603127	240.705448	247.771695	254.798624	261.783084	268.722009	275.612412	282.451383	289.236087	295.963756	302.631695	309.237270	315.777914	322.251119	328.654439	334.985487	341.241933	347.421506	353.521987	359.541217	365.477089	371.327551	377.090605	382.764308	388.346770	393.836153	399.230675	404.528608	409.728276	414.828060	419.826394	424.721767	429.512725	434.197868	438.775857	443.245406	447.605291	451.854344	455.991461	460.015596	463.925768	467.721058	471.400613	474.963646	478.409439	481.737343	484.946781	488.037250	491.008323	493.859651	496.590967	499.202087	501.692916	504.063446	506.313767	508.444065	510.454633	512.345867	514.118281	515.772509	517.309310	518.729581	520.034359	521.224839	522.302378	523.268510	524.124961	524.873663	525.516776	526.056702	526.496116	526.837990	527.085624	527.242685	527.313251	527.301859	527.213569	527.054032	526.829579	526.547325	526.215293	525.842575	525.439523	525.018000	524.591691	524.176520	523.791194	523.457958	523.203650	523.061246	523.072244	523.290573	523.789651	524.677042	526.133271	528.609044	532.612289	536.476819	540.177932	543.714502	547.085451	550.289753	553.326431	556.194560	558.893268	561.421731	563.779179	565.964895	567.978212	569.818518	571.485252	572.977905	574.296024	575.439207	576.407106	577.199425	577.815924	578.256415	578.520762	578.608887
-783000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.043435	1.789134	4.671786	8.265297	12.393339	16.949634	21.860943	27.072949	32.543418	38.238403	44.129918	50.194434	56.411847	62.764740	69.237849	75.817662	82.492102	89.250297	96.082377	102.979331	109.932876	116.935361	123.979677	131.059192	138.167690	145.299322	152.448565	159.610184	166.779204	173.950882	181.120684	188.284268	195.437462	202.576255	209.696777	216.795294	223.868196	230.911984	237.923269	244.898760	251.835260	258.729660	265.578936	272.380141	279.130407	285.826935	292.466997	299.047932	305.567144	312.022099	318.410324	324.729407	330.976991	337.150781	343.248533	349.268061	355.207233	361.063972	366.836254	372.522108	378.119616	383.626915	389.042192	394.363689	399.589701	404.718576	409.748716	414.678576	419.506668	424.231556	428.851860	433.366258	437.773484	442.072328	446.261642	450.340334	454.307374	458.161793	461.902688	465.529215	469.040599	472.436132	475.715175	478.877158	481.921586	484.848038	487.656170	490.345719	492.916503	495.368429	497.701490	499.915774	502.011466	503.988852	505.848326	507.590393	509.215678	510.724930	512.119032	513.399009	514.566036	515.621452	516.566768	517.403685	518.134108	518.760162	519.284217	519.708906	520.037157	520.272222	520.417711	520.477640	520.456478	520.359205	520.191386	519.959253	519.669808	519.330948	518.951618	518.542004	518.113772	517.680381	517.257485	516.863473	516.520196	516.254011	516.097280	516.090696	516.287084	516.758233	517.609022	519.014424	521.399227	525.327484	529.139157	532.789648	536.277846	539.602690	542.763164	545.758308	548.587209	551.249005	553.742885	556.068089	558.223910	560.209690	562.024825	563.668762	565.141000	566.441090	567.568637	568.523297	569.304780	569.912846	570.347312	570.608044	570.694964
-782000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.088297	1.899336	4.786141	8.360173	12.453462	16.963704	21.820035	26.969734	32.371729	37.992953	43.806118	49.788259	55.919742	62.183544	68.564743	75.050118	81.627853	88.287303	95.018805	101.813529	108.663363	115.560804	122.498887	129.471108	136.471371	143.493939	150.533393	157.584598	164.642670	171.702956	178.761005	185.812554	192.853507	199.879924	206.888008	213.874090	220.834624	227.766174	234.665411	241.529102	248.354106	255.137369	261.875920	268.566864	275.207380	281.794722	288.326207	294.799221	301.211212	307.559692	313.842229	320.056453	326.200049	332.270760	338.266382	344.184767	350.023819	355.781498	361.455815	367.044832	372.546665	377.959483	383.281506	388.511006	393.646306	398.685786	403.627873	408.471051	413.213856	417.854880	422.392766	426.826215	431.153984	435.374885	439.487788	443.491623	447.385378	451.168102	454.838906	458.396963	461.841512	465.171858	468.387373	471.487498	474.471748	477.339708	480.091043	482.725492	485.242881	487.643114	489.926188	492.092189	494.141299	496.073798	497.890074	499.590624	501.176059	502.647116	504.004662	505.249702	506.383389	507.407036	508.322128	509.130331	509.833514	510.433761	510.933395	511.334998	511.641440	511.855906	511.981936	512.023464	511.984867	511.871022	511.687378	511.440037	511.135850	510.782546	510.388874	509.964794	509.521712	509.072779	508.633283	508.221174	507.857770	507.568757	507.385644	507.347992	507.507053	507.932269	508.724567	510.050587	512.297586	516.111303	519.856105	523.442553	526.869556	530.136069	533.241097	536.183695	538.962967	541.578065	544.028193	546.312605	548.430604	550.381547	552.164838	553.779934	555.226343	556.503625	557.611391	558.549303	559.317075	559.914474	560.341317	560.597476	560.682870
-781000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.161495	2.054402	4.956072	8.517761	12.581181	17.048643	21.852033	26.940472	32.274216	37.821203	43.554939	49.453100	55.496578	61.668798	67.955218	74.342947	80.820457	87.377358	94.004214	100.692401	107.433989	114.221648	121.048564	127.908376	134.795122	141.703186	148.627265	155.562331	162.503603	169.446521	176.386729	183.320047	190.242463	197.150118	204.039287	210.906377	217.747909	224.560517	231.340934	238.085993	244.792612	251.457797	258.078633	264.652282	271.175977	277.647023	284.062790	290.420712	296.718289	302.953075	309.122690	315.224805	321.257151	327.217512	333.103729	338.913691	344.645346	350.296689	355.865769	361.350688	366.749597	372.060699	377.282247	382.412548	387.449957	392.392883	397.239786	401.989179	406.639625	411.189742	415.638203	419.983732	424.225110	428.361174	432.390815	436.312984	440.126689	443.830999	447.425041	450.908006	454.279149	457.537788	460.683307	463.715161	466.632872	469.436036	472.124324	474.697483	477.155339	479.497802	481.724868	483.836622	485.833241	487.715004	489.482287	491.135579	492.675480	494.102711	495.418120	496.622692	497.717557	498.704000	499.583472	500.357607	501.028231	501.597384	502.067337	502.440617	502.720026	502.908682	503.010041	503.027948	502.966678	502.830995	502.626218	502.358302	502.033934	501.660650	501.246983	500.802640	500.338732	499.868064	499.405511	498.968528	498.577822	498.258320	498.040554	497.962787	498.074455	498.442280	499.162600	500.392399	502.479162	506.144327	509.816810	513.333998	516.694820	519.898251	522.943316	525.829088	528.554687	531.119283	533.522095	535.762391	537.839488	539.752755	541.501607	543.085513	544.503990	545.756605	546.842978	547.762777	548.515723	549.101585	549.520185	549.771397	549.855142
-780000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.258955	2.237401	5.161556	8.718609	12.759870	17.192276	21.950475	26.985435	32.258740	37.739336	43.401517	49.223593	55.186984	61.275554	67.475138	73.773168	80.158402	86.620699	93.150846	99.740420	106.381671	113.067434	119.791045	126.546283	133.327313	140.128638	146.945068	153.771678	160.603785	167.436925	174.266824	181.089390	187.900690	194.696939	201.474487	208.229809	214.959495	221.660241	228.328846	234.962199	241.557280	248.111150	254.620948	261.083891	267.497262	273.858418	280.164776	286.413820	292.603093	298.730199	304.792798	310.788607	316.715397	322.570994	328.353278	334.060179	339.689680	345.239816	350.708672	356.094384	361.395137	366.609167	371.734763	376.770260	381.714046	386.564558	391.320287	395.979772	400.541605	405.004429	409.366942	413.627893	417.786087	421.840381	425.789691	429.632985	433.369292	436.997698	440.517348	443.927450	447.227271	450.416145	453.493468	456.458705	459.311390	462.051126	464.677591	467.190537	469.589795	471.875278	474.046981	476.104988	478.049475	479.880713	481.599074	483.205035	484.699185	486.082231	487.355004	488.518468	489.573731	490.522050	491.364848	492.103720	492.740457	493.277052	493.715729	494.058957	494.309477	494.470336	494.544912	494.536962	494.450661	494.290662	494.062156	493.770956	493.423584	493.027390	492.590691	492.122944	491.634970	491.139230	490.650192	490.184815	489.763201	489.409519	489.153323	489.031574	489.091890	489.398257	490.042411	491.171764	493.097892	496.593388	500.196571	503.647390	506.944793	510.087775	513.075380	515.906697	518.580864	521.097066	523.454537	525.652559	527.690461	529.567624	531.283476	532.837494	534.229204	535.458183	536.524056	537.426498	538.165236	538.740042	539.150744	539.397215	539.479380
-779000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.372663	2.433916	5.386608	8.947730	12.977201	17.386161	22.111764	27.106661	32.333637	37.762548	43.368396	49.130066	55.029446	61.050797	67.180285	73.405635	79.715854	86.101024	92.552130	99.060923	105.619816	112.221785	118.860300	125.529261	132.222944	138.935959	145.663210	152.399865	159.141325	165.883206	172.621313	179.351623	186.070273	192.773544	199.457849	206.119721	212.755810	219.362868	225.937745	232.477385	238.978815	245.439147	251.855566	258.225333	264.545779	270.814301	277.028359	283.185478	289.283241	295.319290	301.291322	307.197093	313.034409	318.801131	324.495172	330.114497	335.657122	341.121113	346.504585	351.805704	357.022687	362.153798	367.197352	372.151712	377.015293	381.786558	386.464021	391.046246	395.531849	399.919495	404.207904	408.395845	412.482143	416.465676	420.345377	424.120232	427.789286	431.351642	434.806459	438.152958	441.390422	444.518192	447.535679	450.442356	453.237765	455.921518	458.493298	460.952862	463.300045	465.534761	467.657008	469.666867	471.564512	473.350210	475.024327	476.587332	478.039803	479.382435	480.616045	481.741580	482.760126	483.672918	484.481350	485.186991	485.791594	486.297117	486.705738	487.019877	487.242222	487.375757	487.423792	487.390006	487.278485	487.093784	486.840983	486.525766	486.154512	485.734402	485.273564	484.781231	484.267964	483.745917	483.229191	482.734302	482.280808	481.892189	481.597119	481.431377	481.440927	481.687268	482.257955	483.291814	485.070637	488.390406	491.934071	495.327887	498.570821	501.661887	504.600141	507.384689	510.014682	512.489321	514.807850	516.969563	518.973803	520.819958	522.507466	524.035814	525.404535	526.613213	527.661479	528.549015	529.275549	529.840861	530.244779	530.487178	530.567986
-778000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.496518	2.637713	5.625828	9.201711	13.232581	17.633163	22.342748	27.315404	32.514934	37.911952	43.482055	49.204600	55.061864	61.038430	67.120741	73.296755	79.555684	85.887790	92.284215	98.736853	105.238244	111.781479	118.360133	124.968203	131.600053	138.250374	144.914147	151.586611	158.263234	164.939694	171.611854	178.275750	184.927571	191.563647	198.180440	204.774531	211.342613	217.881481	224.388026	230.859230	237.292162	243.683967	250.031868	256.333161	262.585209	268.785443	274.931355	281.020501	287.050493	293.019004	298.923759	304.762541	310.533185	316.233577	321.861658	327.415417	332.892894	338.292179	343.611413	348.848784	354.002530	359.070937	364.052342	368.945129	373.747733	378.458635	383.076370	387.599519	392.026715	396.356643	400.588038	404.719685	408.750425	412.679150	416.504806	420.226396	423.842975	427.353659	430.757619	434.054086	437.242352	440.321771	443.291758	446.151796	448.901433	451.540287	454.068046	456.484471	458.789400	460.982749	463.064514	465.034780	466.893716	468.641587	470.278754	471.805679	473.222935	474.531205	475.731295	476.824139	477.810806	478.692514	479.470636	480.146718	480.722485	481.199864	481.580999	481.868273	482.064330	482.172103	482.194849	482.136182	482.000121	481.791139	481.514227	481.174965	480.779615	480.335224	479.849761	479.332279	478.793126	478.244203	477.699308	477.174589	476.689151	476.265901	475.932771	475.724544	475.685781	475.875862	476.378777	477.326063	478.975675	482.124215	485.622413	488.972685	492.174012	495.225418	498.125973	500.874795	503.471045	505.913933	508.202714	510.336693	512.315217	514.137686	515.803543	517.312281	518.663441	519.856612	520.891428	521.767577	522.484789	523.042848	523.441583	523.680873	523.760644
-777000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.630047	2.852265	5.885364	9.489375	13.537604	17.947753	22.660871	27.632182	32.826302	38.214450	43.772687	49.480742	55.321188	61.278856	67.340397	73.493946	79.728867	86.035554	92.405265	98.830000	105.302386	111.815601	118.363294	124.939528	131.538731	138.155652	144.785323	151.423032	158.064294	164.704829	171.340541	177.967502	184.581939	191.180214	197.758822	204.314375	210.843594	217.343303	223.810421	230.241954	236.634996	242.986717	249.294364	255.555253	261.766771	267.926368	274.031559	280.079918	286.069078	291.996729	297.860616	303.658539	309.388351	315.047955	320.635308	326.148416	331.585336	336.944172	342.223079	347.420261	352.533971	357.562509	362.504225	367.357516	372.120831	376.792663	381.371560	385.856114	390.244971	394.536826	398.730425	402.824565	406.818095	410.709917	414.498989	418.184320	421.764975	425.240078	428.608807	431.870402	435.024160	438.069441	441.005667	443.832327	446.548972	449.155224	451.650775	454.035390	456.308907	458.471245	460.522401	462.462458	464.291586	466.010046	467.618198	469.116500	470.505517	471.785929	472.958532	474.024252	474.984148	475.839423	476.591438	477.241721	477.791979	478.244117	478.600256	478.862749	479.034211	479.117539	479.115950	479.033014	478.872698	478.639416	478.338094	477.974235	477.554013	477.084375	476.573172	476.029321	475.463004	474.885931	474.311668	473.756074	473.237900	472.779601	472.408514	472.158623	472.073343	472.210309	472.650545	473.519510	475.055987	478.040120	481.508685	484.830577	488.004785	491.030343	493.906327	496.631863	499.206120	501.628315	503.897708	506.013609	507.975373	509.782404	511.434149	512.930107	514.269822	515.452884	516.478935	517.347661	518.058799	518.612130	519.007487	519.244750	519.323846
-776000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.778513	3.088210	6.179091	9.827157	13.910886	18.350478	23.088427	28.080884	33.293111	38.696793	44.268345	49.987767	55.837854	61.803613	67.871841	74.030795	80.269945	86.579771	92.951609	99.377525	105.850207	112.362882	118.909245	125.483402	132.079817	138.693272	145.318830	151.951808	158.587745	165.222384	171.851651	178.471639	185.078592	191.668891	198.239047	204.785687	211.305546	217.795463	224.252368	230.673282	237.055309	243.395631	249.691505	255.940258	262.139287	268.286052	274.378077	280.412944	286.388296	292.301831	298.151303	303.934519	309.649339	315.293676	320.865493	326.362803	331.783670	337.126206	342.388572	347.568980	352.665688	357.677002	362.601280	367.436925	372.182389	376.836176	381.396835	385.862967	390.233222	394.506300	398.680952	402.755982	406.730243	410.602642	414.372140	418.037753	421.598550	425.053658	428.402260	431.643599	434.776976	437.801755	440.717361	443.523284	446.219080	448.804374	451.278858	453.642300	455.894539	458.035495	460.065166	461.983635	463.791072	465.487738	467.073990	468.550286	469.917187	471.175370	472.325628	473.368880	474.306181	475.138726	475.867868	476.495125	477.022194	477.450966	477.783548	478.022276	478.169746	478.228832	478.202728	478.094972	477.909500	477.650687	477.323415	476.933137	476.485966	475.988780	475.449349	474.876493	474.280279	473.672276	473.065879	472.476737	471.923331	471.427769	471.016928	470.724154	470.591938	470.676475	471.056298	471.851698	473.285493	476.106542	479.561076	482.869532	486.030902	489.044221	491.908573	494.623085	497.186929	499.599326	501.859540	503.966883	505.920712	507.720434	509.365498	510.855405	512.189701	513.367978	514.389879	515.255091	515.963352	516.514446	516.908204	517.144507	517.223282
-775000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.950212	3.358257	6.522098	10.231650	14.369964	18.859409	23.643701	28.679759	33.933354	39.376536	44.985982	50.741893	56.627216	62.627080	68.728377	74.919442	81.189807	87.530007	93.931419	100.386145	106.886903	113.426945	119.999989	126.600157	133.221928	139.860097	146.509740	153.166180	159.824965	166.481844	173.132749	179.773777	186.401174	193.011326	199.600745	206.166060	212.704008	219.211428	225.685250	232.122497	238.520271	244.875755	251.186205	257.448949	263.661381	269.820962	275.925214	281.971719	287.958119	293.882110	299.741446	305.533933	311.257431	316.909851	322.489154	327.993354	333.420514	338.768744	344.036206	349.221110	354.321713	359.336322	364.263294	369.101031	373.847987	378.502662	383.063608	387.529425	391.898762	396.170321	400.342853	404.415160	408.386098	412.254574	416.019548	419.680038	423.235113	426.683900	430.025584	433.259409	436.384676	439.400750	442.307057	445.103089	447.788402	450.362621	452.825440	455.176628	457.416025	459.543552	461.559207	463.463074	465.255324	466.936217	468.506112	469.965465	471.314839	472.554909	473.686467	474.710432	475.627856	476.439933	477.148013	477.753609	478.258415	478.664317	478.973415	479.188038	479.310771	479.344481	479.292345	479.157889	478.945029	478.658121	478.302020	477.882149	477.404586	476.876167	476.304607	475.698664	475.068329	474.425073	473.782172	473.155120	472.562199	472.025253	471.570799	471.231667	471.049584	471.079524	471.397847	472.120276	473.455711	476.105049	479.559573	482.868018	486.029378	489.042688	491.907031	494.621534	497.185371	499.597760	501.857967	503.965303	505.919126	507.718842	509.363901	510.853804	512.188095	513.366369	514.388266	515.253476	515.961735	516.512826	516.906583	517.142885	517.221661
