archaeological_layer.archstratigraphy_idarchstrat;assemblage.locality_idlocality;assemblage.name;assemblage.lithic_piece_count;locality.x;locality.y;query_age_min;query_age_max;age_comments
MSA;Aar 1;Aar Layer 1 Archaeological Assemblage;6320;16.488989;-26.772622;30000;300000;Absolute date not avaliable. Waiting for date through archaeological material;
MSA/LSA;Aar 1;Aar Layer 4-2 Archaeological Assemblage;-1;16.488989;-26.772622;25000;40000;Absolute date not avaliable. Waiting for date through archaeological material;
MSA;Aar 2;Aar 2 Layer 4-1 Archaeological Assemblage;2066;16.468356;-26.728179;30000;300000;;
Pietersburg;Aasvoelkop;MSA hilltop rubble;720;28;-26.17;30000;300000;;
MSA;Abdur Archaeological Site;Abdur MSA assamblage;-1;39.864369;15.151203;118000;132000;;
Aterian;Adrar Bous;Adrar Bous Eolian Sands S110 Archaeological Assemblage;293;8.95;20.3;40000;150000;arch_strat Aterian;
Aterian;Adrar Bous;Adrar Bous Eolian Sands S112-116 Archaeological Assemblage;859;8.95;20.3;40000;150000;arch_strat Aterian;
Aterian;Adrar Bous;Adrar Bous Eolian Sands S123 Archaeological Assemblage;236;8.95;20.3;40000;150000;arch_strat Aterian;
Aterian;Adrar Bous;Adrar Bous Eolian Sands S139 Archaeological Assemblage;400;8.95;20.3;40000;150000;arch_strat Aterian;
Aterian;Adrar Bous;Adrar Bous Eolian Sands S140 Archaeological Assemblage;335;8.95;20.3;40000;150000;arch_strat Aterian;
Aterian;Adrar Bous;Adrar Bous Eolian Sands S144 Archaeological Assemblage;441;8.95;20.3;40000;150000;arch_strat Aterian;
Aterian;Adrar Bous;Adrar Bous Eolian Sands S52 Archaeological Assemblage;515;8.95;20.3;40000;150000;arch_strat Aterian;
Aterian;Adrar Bous;Adrar Bous Eolian Sands S89 Archaeological Assemblage;151;8.95;20.3;40000;150000;arch_strat Aterian;
Middle Paleolithic - Africa;Adrar Bous;Adrar Bous Green Loam S142 Archaeological Assemblage;326;8.95;20.3;40000;200000;arch_strat Middle Paleolithic - Africa;
Middle Paleolithic - Africa;Adrar Bous;Adrar Bous Green Loam S146 Archaeological Assemblage;79;8.95;20.3;40000;200000;arch_strat Middle Paleolithic - Africa;
Middle Paleolithic - Africa;Adrar Bous;Adrar Bous Green Loam S151 Archaeological Assemblage;184;8.95;20.3;40000;200000;arch_strat Middle Paleolithic - Africa;
Middle Paleolithic - Africa;Adrar Bous;Adrar Bous Green Loam S157 Archaeological Assemblage;30;8.95;20.3;40000;200000;arch_strat Middle Paleolithic - Africa;
Late Acheulean - Africa;Adrar Bous;Adrar Bous Lower Mottled Sand S120 Archaeological Assemblage;420;8.95;20.3;200000;800000;;
Late Acheulean - Africa;Adrar Bous;Adrar Bous Lower Mottled Sand S133/S144 Archaeological Assemblage;82;8.95;20.3;200000;800000;;
Late Acheulean - Africa;Adrar Bous;Adrar Bous Lower Mottled Sand S161 Archaeological Assemblage;36;8.95;20.3;200000;800000;;
Late Acheulean - Africa;Adrar Bous;Adrar Bous Lower Mottled Sand S162 Archaeological Assemblage;23;8.95;20.3;200000;800000;;
Late Acheulean - Africa;Adrar Bous;Adrar Bous Lower Mottled Sand S57 Archaeological Assemblage;253;8.95;20.3;200000;800000;;
Late Acheulean - Africa;Adrar Bous;Adrar Bous Lower Mottled Sand S63 Archaeological Assemblage;145;8.95;20.3;200000;800000;;
Aterian;Ain Aghbal;Aterian inventar;82;-1.8731;34.7181;14000;150000;upper part Iberomaurusian, lower part Aterian;
Mousterian - Levant;Ain El Guettar;Ain El Guettar Test Pits S1/S2 Archaeological Assemblage;126;9.5825;34.6597;40000;150000;;
Aterian;Ain El Guettar;Ain El Guettar Unit 16+17 Archaeological Assemblage;50;9.5825;34.6597;40000;150000;arch_strat: Aterian;
Mousterian - Levant;Ain El Guettar;Ain El Guettar Unit 4 Archaeologial Surface Collection;20;9.5825;34.6597;40000;150000;;
Mousterian - Levant;Ain El Guettar;Ain El Guettar Unit 4 Archaeological Assemblage;360;9.5825;34.6597;40000;150000;;
Acheulean - Africa;Ain Fritissa;Ain Fritissa Unstratified Acheulean Assemblage;956;-3.551031;33.618288;0;1800000;;
