year	eccentricity	obliquity	perihelion	climatic_precession
-784000	0.025938	0.418087	-4.027603	-0.020090
-783000	0.025758	0.417323	-3.717942	-0.014037
-782000	0.025543	0.416352	-3.408119	-0.006727
-781000	0.025291	0.415197	-3.098017	0.001102
-780000	0.025003	0.413882	-2.787524	0.008669
-779000	0.024678	0.412436	-2.476540	0.015229
-778000	0.024318	0.410887	-2.164973	0.020150
-777000	0.023921	0.409264	-1.852738	0.022976
-776000	0.023488	0.407599	-1.539761	0.023476
-775000	0.023019	0.405923	-1.225976	0.021664
-774000	0.022516	0.404267	-0.911323	0.017794
-773000	0.021977	0.402660	-0.595748	0.012332
-772000	0.021405	0.401132	-0.279201	0.005899
-771000	0.020799	0.399710	-6.244818	-0.000798
-770000	0.020161	0.398421	-5.926175	-0.007046
-769000	0.019492	0.397286	-5.606401	-0.012208
-768000	0.018792	0.396328	-5.285425	-0.015790
-767000	0.018064	0.395564	-4.963159	-0.017499
-766000	0.017307	0.395010	-4.639488	-0.017261
-765000	0.016524	0.394676	-4.314259	-0.015232
-764000	0.015717	0.394573	-3.987268	-0.011763
-763000	0.014888	0.394702	-3.658236	-0.007354
-762000	0.014038	0.395066	-3.326790	-0.002585
-761000	0.013171	0.395660	-2.992422	0.001957
-760000	0.012290	0.396477	-2.654440	0.005753
-759000	0.011399	0.397504	-2.311900	0.008409
-758000	0.010503	0.398725	-1.963504	0.009704
-757000	0.009609	0.400120	-1.607460	0.009603
-756000	0.008726	0.401665	-1.241295	0.008256
-755000	0.007865	0.403334	-0.861598	0.005969
-754000	0.007046	0.405096	-0.463774	0.003152
-753000	0.006293	0.406919	-0.041971	0.000264
-752000	0.005642	0.408768	-5.872952	-0.002250
-751000	0.005142	0.410608	-5.385938	-0.004019
-750000	0.004850	0.412402	-4.867077	-0.004792
-749000	0.004810	0.414114	-4.331812	-0.004466
-748000	0.005034	0.415709	-3.804592	-0.003098
-747000	0.005496	0.417152	-3.305943	-0.000899
-746000	0.006143	0.418410	-2.843891	0.001802
-745000	0.006927	0.419455	-2.416373	0.004595
-744000	0.007807	0.420260	-2.017264	0.007041
-743000	0.008753	0.420804	-1.640169	0.008732
-742000	0.009746	0.421068	-1.279775	0.009336
-741000	0.010771	0.421042	-0.932012	0.008647
-740000	0.011819	0.420719	-0.593837	0.006613
-739000	0.012881	0.420098	-0.262985	0.003349
-738000	0.013953	0.419188	-6.220933	-0.000868
-737000	0.015029	0.418002	-5.900006	-0.005619
-736000	0.016107	0.416560	-5.582376	-0.010386
-735000	0.017183	0.414891	-5.267246	-0.014605
-734000	0.018254	0.413027	-4.953981	-0.017724
-733000	0.019320	0.411009	-4.642077	-0.019272
-732000	0.020377	0.408883	-4.331131	-0.018914
-731000	0.021425	0.406698	-4.020827	-0.016502
-730000	0.022460	0.404506	-3.710923	-0.012108
-729000	0.023484	0.402362	-3.401242	-0.006029
-728000	0.024493	0.400319	-3.091669	0.001222
-727000	0.025486	0.398429	-2.782137	0.008965
-726000	0.026464	0.396743	-2.472630	0.016412
